record_type,epoch,step,global_step,optimizer_step,train_step_loss,train_running_loss,train_epoch_loss,val_loss,val_wer,lr,elapsed_sec,best_wer
train_step,42,14,1941,31,6.164173603057861,6.617035559245518,,,,3.1000000000000004e-06,,
train_step,42,15,1942,31,5.2509613037109375,6.52596394220988,,,,3.1000000000000004e-06,,
train_step,42,16,1943,32,6.450119495391846,6.521223664283752,,,,3.2000000000000003e-06,,
train_step,42,17,1944,32,6.635138511657715,6.527924537658691,,,,3.2000000000000003e-06,,
train_step,42,18,1945,33,5.653374671936035,6.479338434007433,,,,3.3e-06,,
train_step,42,19,1946,33,6.053412437438965,6.456921276293303,,,,3.3e-06,,
train_step,42,20,1947,34,5.916937351226807,6.429922080039978,,,,3.4e-06,,
train_step,42,21,1948,34,6.327434539794922,6.42504172098069,,,,3.4e-06,,
train_step,42,22,1949,35,5.777899742126465,6.3956261764873155,,,,3.5e-06,,
train_step,42,23,1950,35,5.76725959777832,6.36830589045649,,,,3.5e-06,,
train_step,42,24,1951,36,5.33208703994751,6.325130105018616,,,,3.6e-06,,
train_step,42,25,1952,36,6.286008358001709,6.32356523513794,,,,3.6e-06,,
train_step,42,26,1953,37,5.473826885223389,6.290882990910457,,,,3.7e-06,,
train_step,42,27,1954,37,5.977969646453857,6.279293607782434,,,,3.7e-06,,
train_step,42,28,1955,38,5.630565166473389,6.25612473487854,,,,3.8e-06,,
train_step,42,29,1956,38,5.552676200866699,6.231867888878131,,,,3.8e-06,,
train_step,42,30,1957,39,5.307382106781006,6.201051696141561,,,,3.9e-06,,
train_step,42,31,1958,39,5.921943664550781,6.192048211251536,,,,3.9e-06,,
train_step,42,32,1959,40,6.050778865814209,6.187633544206619,,,,4.000000000000001e-06,,
train_step,42,33,1960,40,5.618548393249512,6.170388539632161,,,,4.000000000000001e-06,,
train_step,42,34,1961,41,4.982535362243652,6.1354516814736755,,,,4.1e-06,,
train_step,42,35,1962,41,5.5830512046813965,6.119668810708182,,,,4.1e-06,,
train_step,42,36,1963,42,5.848769187927246,6.112143821186489,,,,4.2000000000000004e-06,,
train_step,42,37,1964,42,4.9602766036987305,6.081012274767901,,,,4.2000000000000004e-06,,
train_step,42,38,1965,43,5.021092414855957,6.053119646875482,,,,4.3e-06,,
train_step,42,39,1966,43,5.394103050231934,6.036221785423083,,,,4.3e-06,,
train_step,42,40,1967,44,4.873906135559082,6.007163894176483,,,,4.4e-06,,
train_step,42,41,1968,44,5.397006988525391,5.992282018428895,,,,4.4e-06,,
train_step,42,42,1969,45,5.468249320983887,5.97980504944211,,,,4.5e-06,,
train_step,42,43,1970,45,5.028834819793701,5.9576894627061,,,,4.5e-06,,
train_step,42,44,1971,46,5.353352069854736,5.943954521959478,,,,4.6e-06,,
train_step,42,45,1972,46,4.9401350021362305,5.921647421518961,,,,4.6e-06,,
train_step,42,46,1973,47,5.5575337409973145,5.913731906725013,,,,4.7e-06,,
train_step,42,47,1974,48,5.394966125488281,5.902694336911465,,,,4.800000000000001e-06,,
epoch_summary,42,47,1974,48,,,5.902694336911465,nan,nan,4.800000000000001e-06,10.04531741142273,0.21612232079767607
train_step,43,1,1975,48,5.035312652587891,5.035312652587891,,,,4.800000000000001e-06,,
train_step,43,2,1976,49,5.334225654602051,5.184769153594971,,,,4.9e-06,,
train_step,43,3,1977,49,5.555231094360352,5.308256467183431,,,,4.9e-06,,
train_step,43,4,1978,50,5.298480987548828,5.30581259727478,,,,5e-06,,
train_step,43,5,1979,50,4.932904243469238,5.231230926513672,,,,5e-06,,
train_step,43,6,1980,51,5.024178504943848,5.196722189585368,,,,5.1e-06,,
train_step,43,7,1981,51,5.064148902893066,5.177783148629325,,,,5.1e-06,,
train_step,43,8,1982,52,5.381120681762695,5.203200340270996,,,,5.2e-06,,
train_step,43,9,1983,52,5.072758197784424,5.188706768883599,,,,5.2e-06,,
train_step,43,10,1984,53,5.441925525665283,5.214028644561767,,,,5.3e-06,,
train_step,43,11,1985,53,4.770116806030273,5.173673022877086,,,,5.3e-06,,
train_step,43,12,1986,54,5.373990058898926,5.190366109212239,,,,5.400000000000001e-06,,
train_step,43,13,1987,54,5.574875831604004,5.219943780165452,,,,5.400000000000001e-06,,
train_step,43,14,1988,55,4.989412307739258,5.203477246420724,,,,5.5e-06,,
train_step,43,15,1989,55,4.946320533752441,5.186333465576172,,,,5.5e-06,,
train_step,43,16,1990,56,5.114654064178467,5.181853502988815,,,,5.600000000000001e-06,,
train_step,43,17,1991,56,5.376332759857178,5.193293459275189,,,,5.600000000000001e-06,,
train_step,43,18,1992,57,4.632699489593506,5.16214934984843,,,,5.7000000000000005e-06,,
train_step,43,19,1993,57,5.05989933013916,5.156767769863731,,,,5.7000000000000005e-06,,
train_step,43,20,1994,58,5.369826316833496,5.167420697212219,,,,5.8e-06,,
train_step,43,21,1995,58,4.562146186828613,5.1385981014796664,,,,5.8e-06,,
train_step,43,22,1996,59,4.9696760177612305,5.130919824947011,,,,5.9e-06,,
train_step,43,23,1997,59,4.939065933227539,5.12257835139399,,,,5.9e-06,,
train_step,43,24,1998,60,4.93447208404541,5.114740590254466,,,,6e-06,,
train_step,43,25,1999,60,5.322121620178223,5.123035831451416,,,,6e-06,,
train_step,43,26,2000,61,5.03715705871582,5.119732801730816,,,,6.1e-06,,
train_step,43,27,2001,61,4.896993160247803,5.111483185379593,,,,6.1e-06,,
train_step,43,28,2002,62,4.754618167877197,5.098738006183079,,,,6.200000000000001e-06,,
train_step,43,29,2003,62,5.246619701385498,5.103837374983163,,,,6.200000000000001e-06,,
train_step,43,30,2004,63,5.193549156188965,5.106827767690023,,,,6.3e-06,,
train_step,43,31,2005,63,4.580259323120117,5.089841688832929,,,,6.3e-06,,
train_step,43,32,2006,64,4.6478271484375,5.076028734445572,,,,6.4000000000000006e-06,,
train_step,43,33,2007,64,4.746773719787598,5.066051309758967,,,,6.4000000000000006e-06,,
train_step,43,34,2008,65,5.080273628234863,5.066469613243552,,,,6.5000000000000004e-06,,
train_step,43,35,2009,65,4.608078956604004,5.053372737339565,,,,6.5000000000000004e-06,,
train_step,43,36,2010,66,5.172919750213623,5.056693487697178,,,,6.6e-06,,
train_step,43,37,2011,66,4.868655204772949,5.051611371942468,,,,6.6e-06,,
train_step,43,38,2012,67,4.407108783721924,5.034650777515612,,,,6.7e-06,,
train_step,43,39,2013,67,5.054391860961914,5.035156959142441,,,,6.7e-06,,
train_step,43,40,2014,68,4.449374198913574,5.020512390136719,,,,6.8e-06,,
train_step,43,41,2015,68,4.775190830230713,5.014528937456085,,,,6.8e-06,,
train_step,43,42,2016,69,4.294284820556641,4.997380268006098,,,,6.900000000000001e-06,,
train_step,43,43,2017,69,4.266225814819336,4.980376676071522,,,,6.900000000000001e-06,,
train_step,43,44,2018,70,4.986374855041504,4.980512998320839,,,,7e-06,,
train_step,43,45,2019,70,4.907737731933594,4.978895770178901,,,,7e-06,,
train_step,43,46,2020,71,4.774845123291016,4.974459886550903,,,,7.1e-06,,
train_step,43,47,2021,72,4.900051593780518,4.972876731385576,,,,7.2e-06,,
epoch_summary,43,47,2021,72,,,4.972876731385576,nan,nan,7.2e-06,9.188875436782837,0.21612232079767607
train_step,44,1,2022,72,4.768420219421387,4.768420219421387,,,,7.2e-06,,
train_step,44,2,2023,73,5.1666717529296875,4.967545986175537,,,,7.3e-06,,
train_step,44,3,2024,73,4.967899322509766,4.967663764953613,,,,7.3e-06,,
train_step,44,4,2025,74,4.2517781257629395,4.788692355155945,,,,7.4e-06,,
train_step,44,5,2026,74,4.275644302368164,4.686082744598389,,,,7.4e-06,,
train_step,44,6,2027,75,4.858346939086914,4.71479344367981,,,,7.500000000000001e-06,,
train_step,44,7,2028,75,4.400218963623047,4.66985423224313,,,,7.500000000000001e-06,,
train_step,44,8,2029,76,4.861342430114746,4.693790256977081,,,,7.6e-06,,
train_step,44,9,2030,76,4.840242862701416,4.71006276872423,,,,7.6e-06,,
train_step,44,10,2031,77,4.879584312438965,4.7270149230957035,,,,7.699999999999999e-06,,
train_step,44,11,2032,77,4.937100410461426,4.746113603765314,,,,7.699999999999999e-06,,
train_step,44,12,2033,78,4.399814128875732,4.717255314191182,,,,7.8e-06,,
train_step,44,13,2034,78,4.577575206756592,4.706510690542368,,,,7.8e-06,,
train_step,44,14,2035,79,4.8202900886535645,4.714637790407453,,,,7.9e-06,,
train_step,44,15,2036,79,4.621363162994385,4.708419481913249,,,,7.9e-06,,
train_step,44,16,2037,80,5.026322364807129,4.728288412094116,,,,8.000000000000001e-06,,
train_step,44,17,2038,80,5.070698261260986,4.748430167927461,,,,8.000000000000001e-06,,
train_step,44,18,2039,81,5.039095878601074,4.764578262964885,,,,8.1e-06,,
train_step,44,19,2040,81,4.366394996643066,4.743621248947947,,,,8.1e-06,,
train_step,44,20,2041,82,4.228967666625977,4.717888569831848,,,,8.2e-06,,
train_step,44,21,2042,82,4.9949798583984375,4.731083393096924,,,,8.2e-06,,
train_step,44,22,2043,83,4.677720069885254,4.7286577874963935,,,,8.3e-06,,
train_step,44,23,2044,83,4.759668350219727,4.73000607283219,,,,8.3e-06,,
